iata_code,id_0,id_1,id_2,id_3,id_4,id_5
AIF,bra_33_gadm2-8,bra_33_24_gadm2-8,bra_33_24_4403_gadm2-8,bra_33_24_4403_8561_gadm2-8,,
AIG,caf_46_gadm2-8,caf_46_5_gadm2-8,caf_46_5_13_gadm2-8,,,
AIH,png_175_gadm2-8,png_175_22_gadm2-8,png_175_22_85_gadm2-8,,,
AII,dji_65_gadm2-8,dji_65_1_gadm2-8,dji_65_1_1_gadm2-8,,,
AIK,usa_244_gadm2-8,usa_244_41_gadm2-8,usa_244_41_2322_gadm2-8,,,
AIL,pan_174_gadm2-8,pan_174_8_gadm2-8,pan_174_8_40_gadm2-8,pan_174_8_40_265_gadm2-8,,
AIM,,,,,,
AIN,,,,,,
AIO,usa_244_gadm2-8,usa_244_16_gadm2-8,usa_244_16_803_gadm2-8,,,
AIP,mhl_140_gadm2-8,,,,,
AIR,bra_33_gadm2-8,bra_33_12_gadm2-8,bra_33_12_1453_gadm2-8,bra_33_12_1453_2973_gadm2-8,,
AIS,kir_119_gadm2-8,,,,,
AIT,cok_55_gadm2-8,,,,,
AIU,cok_55_gadm2-8,,,,,
AIV,usa_244_gadm2-8,usa_244_1_gadm2-8,usa_244_1_54_gadm2-8,,,
AIW,nam_155_gadm2-8,nam_155_1_gadm2-8,nam_155_1_2_gadm2-8,,,
AIY,usa_244_gadm2-8,usa_244_31_gadm2-8,usa_244_31_1777_gadm2-8,,,
AIZ,usa_244_gadm2-8,usa_244_26_gadm2-8,usa_244_26_1552_gadm2-8,,,
AJA,fra_79_gadm2-8,fra_79_10_gadm2-8,fra_79_10_41_gadm2-8,fra_79_10_41_167_gadm2-8,fra_79_10_41_167_1579_gadm2-8,fra_79_10_41_167_1579_14735_gadm2-8
AJF,sau_200_gadm2-8,sau_200_4_gadm2-8,,,,
AJI,tur_235_gadm2-8,tur_235_7_gadm2-8,tur_235_7_82_gadm2-8,,,
AJJ,mrt_142_gadm2-8,mrt_142_9_gadm2-8,mrt_142_9_31_gadm2-8,,,
